P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
-1.131774121189438,0.39348276838316465,-0.3262910796459445,0.021327000649001546,-0.07997150006400172,0.020037653762651375,-0.11006634493031667,-0.0382518345745589,-0.032970485833715646,0.017568245527763426
-1.0179500392892127,0.7148867047263456,0.3419427932217294,-0.20914283342118056,-0.23779112758191634,-0.2002357662699173,0.014321416220464844,0.0170087407275184,-0.07495189628070954,-0.017063059559192573
-0.8763384239344705,0.5304727831907677,0.32705897312140403,-0.35964308088173114,-0.2356704967671765,-0.1967983752041806,-0.0781934053846268,0.022321238728677917,-0.04009169464496887,-0.012071025050732764
-0.8892938290076323,0.07505166256591625,-0.19414769687151434,-0.009689643467697108,0.14439841763688022,-0.13062897227390824,0.10436965281445246,0.018751998596364422,-0.00784371612358987,-0.025486966937240896
-0.9101856063514864,0.05863569497027024,-0.202973609301221,-0.04934375061622177,0.16451323698398107,-0.14751157557646566,0.08353281654298793,0.01746883874107224,-0.010203843347966916,-0.014302724648932508
-0.8998866528114571,0.034625643910960124,-0.19721362719964222,-0.06621437403854476,0.18323546432746124,-0.15047215797468189,0.0739201914552726,0.008012450263177269,0.00724293497188238,-0.0102309815938883
-0.9916957106752693,0.15182266021376284,-0.2822335506324204,-0.058383459007637285,0.26551586208496875,-0.22865132198300536,-0.07414796898974671,-0.02171736497953239,0.10335815820716229,0.007653010882389066
-0.9799442192490135,0.19107790185032303,-0.30178313105214477,-0.06519206447571758,0.263254122406999,-0.19952606561231967,-0.03251202541608597,-0.07395236236907288,0.05014038463565285,0.006580071882174188
-1.1304704155948335,0.3810031950879251,-0.2601993742320251,0.10386616661879022,-0.17021819035486702,0.09637318436629816,-0.09988844559292347,0.00842788750668566,-0.02019380777520094,0.016180062771502635
-1.057328047316418,0.645672882303829,0.24516647076949327,-0.14147865919388336,-0.21784033006656134,-0.178063163865732,-0.01806578178622261,0.047563708877920524,-0.03463585632111765,-0.01670579304189007
-0.9159271976487191,0.4658635946405658,0.3093995061547326,-0.2209763799316388,-0.25672612792950017,-0.1253779624093479,-0.054300289155977184,0.06678270738238284,-0.00796702720235927,-0.01845633941530117
-0.9283487904202296,0.0921539203684916,-0.2227891439997296,-0.058130918021048104,0.12583775693116725,-0.14935126465472862,0.09564754253526991,0.06983606308363098,0.026624063189265024,-0.015709824659339067
-0.8894847598645352,0.039700818977826485,-0.194310850646497,-0.05135013627350913,0.1825256394497266,-0.13681443087141582,0.08293117653037287,-0.02693744331885671,-0.04100782137387794,-0.011610671848219178
-0.8867159909712938,0.02998067372293678,-0.2000536770558915,-0.08033330440559261,0.18119731818899648,-0.1406202553138979,0.07190953676537738,-0.004501940886017179,0.01779659697062333,-0.004820085388245188
-0.8674341645112427,0.0021018674977408836,-0.2028433483834015,-0.07267498518634458,0.28513408866956547,-0.20501625738274543,0.009800848365015158,-0.04111560476082498,0.05493811920168904,0.013225313185895649
-0.9865644134176099,0.1394819340838792,-0.3018320530990354,-0.10245603488993653,0.2774613646280588,-0.25925548281584543,-0.052553631379140736,-0.008685463526963082,0.08898669540617575,0.019770294003292554
-1.0768726972080702,0.3444316151307364,-0.2361280925723489,0.13495946742053438,-0.13710823786740256,0.09265606786507288,-0.11359265537731061,-0.033139302753896704,0.005932203672733423,0.026310514237344707
-1.0738563836976476,0.30085968350921083,-0.17364492508296414,0.1866828022302438,-0.1855105447598568,0.13210685960636895,-0.11098863998537492,0.019732996391719992,0.019640215998054565,0.02296806809669033
-1.1011341283615113,0.4852126257560624,0.007439932102381738,-0.012302376470883655,-0.1658713720191039,-0.07932171227592968,-0.07182263233094216,0.07624363555745178,0.040614848605974946,0.009739480804633993
-0.9547534340151873,0.4613474711775488,0.35422485135005405,-0.15688794341527612,-0.32424315482953375,-0.08088074158598804,-0.11024491306973783,0.10253812699138809,0.05489431179009854,-0.01516858520468456
-0.9626169812421937,0.1122312199780537,-0.17209090164506485,-0.0859555061643411,-0.29491633318335914,0.21248343785279836,-0.13409649597812373,0.09325290368987507,0.0887131109574901,-0.015306107692396542
-0.8725969501797434,0.19754715267421047,0.003652067332374033,-0.1847372565075958,-0.27176058201867176,0.1798736385667325,-0.14349485745998403,0.0293354194313662,0.058766476811055846,-0.026297253760071637
